query_path,nearest_ref_path,nn_lpips
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y000.jpg,dataset_v3_patches/train/Cable/__JH2023-5_1678431985670_y146.jpg,0.168708
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y073.jpg,dataset_v3_patches/train/Cable/__JH2023-5_1678431985670_y294.jpg,0.162506
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y146.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-18_1686559851791_y000.jpg,0.153434
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y219.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-18_1686559851791_y294_aug2.jpg,0.146591
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y292.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-18_1686559851791_y219_aug1.jpg,0.147099
dataset_v3_patches/test/Cable/5_7G_绞花_棉纱_普通样片_JH2023-11_1684992314305_y294.jpg,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2023-18_1686559851791_y219_aug1.jpg,0.146102
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y000.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.068367
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y073.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.073614
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y146.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.078439
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y219.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.081215
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y292.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.084142
dataset_v3_patches/test/Cable/__JH2022-10_1657951839172_y294.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.084132
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y000.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_包芯纱_绞花_JH2024-10_1718152392227_y000_aug1.jpg,0.174326
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y073.jpg,dataset_v3_patches/train/Cable/普通样片_3G_绞花_包芯纱_JH2023-24_1694159386222_y073_aug1.jpg,0.171545
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y146.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_包芯纱_绞花_JH2024-10_1718152392227_y000_aug1.jpg,0.168187
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y219.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y219_aug2.jpg,0.161425
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y292.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_包芯纱_绞花_JH2024-10_1718152392227_y146.jpg,0.158004
dataset_v3_patches/test/Cable/__JH2022-23_1672913344894_y294.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_包芯纱_绞花_JH2024-10_1718152392227_y146.jpg,0.158310
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y000.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294_aug2.jpg,0.262723
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y073.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294_aug2.jpg,0.250754
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y146.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294.jpg,0.264570
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y219.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294.jpg,0.264815
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y292.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294_aug2.jpg,0.260583
dataset_v3_patches/test/Cable/__JH2022-2_1652147424642_y294.jpg,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y294_aug2.jpg,0.257545
dataset_v3_patches/test/Cable/普通样片_5_7G_包芯纱_绞花_JH2023-38_1704512052629_y000.jpg,dataset_v3_patches/train/Move/普通样片_14G_羊毛_移针_YZ2022-12_1663721026263_y219_aug1.jpg,0.172333
dataset_v3_patches/test/Cable/普通样片_5_7G_包芯纱_绞花_JH2023-38_1704512052629_y073.jpg,dataset_v3_patches/train/Move/普通样片_14G_羊毛_移针_YZ2022-12_1663721026263_y292_aug2.jpg,0.170387
dataset_v3_patches/test/Cable/普通样片_5_7G_包芯纱_绞花_JH2023-38_1704512052629_y146.jpg,dataset_v3_patches/train/Move/普通样片_14G_羊毛_移针_YZ2022-12_1663721026263_y294_aug2.jpg,0.169586
