query_path,nearest_ref_path,nn_lpips
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y146.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y146_aug1.jpg,0.039799
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y146_aug1.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y146.jpg,0.039799
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y219_aug1.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y219_aug2.jpg,0.055958
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y219_aug2.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y219_aug1.jpg,0.055958
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y292_aug2.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y294_aug1.jpg,0.072873
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y294_aug1.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y292_aug2.jpg,0.072873
dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y294_aug2.jpg,dataset_v3_patches/train/Cable/5_7G_普通样片_包芯纱_绞花_JH2023-35_1704511928388_y146_aug1.jpg,0.070577
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y000.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y294_aug2.jpg,0.099877
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug1.jpg,0.059060
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug2.jpg,0.035164
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug1.jpg,0.035164
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y146.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y073_aug1.jpg,0.165445
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y219_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y219_aug2.jpg,0.053254
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y219_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y219_aug1.jpg,0.053254
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y292_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y294_aug2.jpg,0.056029
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y294_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y292_aug2.jpg,0.064478
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y294_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-17_1691203671493_y292_aug2.jpg,0.056029
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y000_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y000_aug2.jpg,0.026834
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y000_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y000_aug1.jpg,0.026834
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y073.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y073_aug2.jpg,0.036623
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y073_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y073.jpg,0.036623
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y146_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y073.jpg,0.040027
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y146_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y219.jpg,0.037652
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y219.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y219_aug2.jpg,0.025163
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y219_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y219.jpg,0.025163
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y294_aug2.jpg,0.055882
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y294.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y294_aug2.jpg,0.036497
dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y294_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y294.jpg,0.036497
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000_aug1.jpg,0.075477
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000.jpg,0.075477
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y000_aug1.jpg,0.089164
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y073_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146_aug1.jpg,0.201732
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146_aug1.jpg,0.182402
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146.jpg,0.182402
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146.jpg,0.249029
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y219_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y146_aug1.jpg,0.253776
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y292_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y294_aug2.jpg,0.116243
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y294_aug1.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y294_aug2.jpg,0.064552
dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y294_aug2.jpg,dataset_v3_patches/train/Cable/7G_普通样片_棉纱_绞花_JH2023-19_1691203871745_y294_aug1.jpg,0.064552
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y073_aug2.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y294.jpg,0.036118
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y146_aug2.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y073_aug2.jpg,0.057563
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y219_aug2.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y294_aug1.jpg,0.061563
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y292.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y294.jpg,0.010416
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y294.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y292.jpg,0.010416
dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y294_aug1.jpg,dataset_v3_patches/train/Cable/__JH2020-1_1615438358700_y292.jpg,0.016788
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000_aug1.jpg,0.100105
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000.jpg,0.100105
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y000.jpg,0.119826
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y073.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y073_aug1.jpg,0.017240
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y073_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y073.jpg,0.017240
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146_aug1.jpg,0.082304
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146.jpg,0.082304
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y146.jpg,0.132448
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y219.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y219_aug1.jpg,0.050169
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y219_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y219.jpg,0.050169
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y292.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294.jpg,0.033456
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y292_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294.jpg,0.016011
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y292_aug2.jpg,0.016011
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294_aug2.jpg,0.055309
dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-14_1661152980863_y294_aug1.jpg,0.055309
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y000_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y073_aug2.jpg,0.093033
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y073_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y073_aug2.jpg,0.077358
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y073_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y073_aug1.jpg,0.077358
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y146_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y219_aug1.jpg,0.081959
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y219_aug1.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y294.jpg,0.067835
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y219_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y219_aug1.jpg,0.091053
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y292_aug2.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y294.jpg,0.027694
dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y294.jpg,dataset_v3_patches/train/Cable/__JH2022-15_1663637300935_y292_aug2.jpg,0.027694
