split,class_name,source,group_key,stem,src_path,dst_path
train,Cable1,rendering,Cable1_001_0_0,Cable1_001_0_0,D:/data/code/dataset/dataset/rendering/Cable1_001_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_001_0_0.jpg
train,Cable1,rendering,Cable1_003_0_0,Cable1_003_0_0,D:/data/code/dataset/dataset/rendering/Cable1_003_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_003_0_0.jpg
train,Cable1,rendering,Cable1_004_0_0,Cable1_004_0_0,D:/data/code/dataset/dataset/rendering/Cable1_004_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_004_0_0.jpg
train,Cable1,rendering,Cable1_004_0_6,Cable1_004_0_6,D:/data/code/dataset/dataset/rendering/Cable1_004_0_6.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_004_0_6.jpg
train,Cable1,rendering,Cable1_006_0_0,Cable1_006_0_0,D:/data/code/dataset/dataset/rendering/Cable1_006_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_006_0_0.jpg
train,Cable1,rendering,Cable1_007_0_0,Cable1_007_0_0,D:/data/code/dataset/dataset/rendering/Cable1_007_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_007_0_0.jpg
train,Cable1,rendering,Cable1_008_0_0,Cable1_008_0_0,D:/data/code/dataset/dataset/rendering/Cable1_008_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_008_0_0.jpg
train,Cable1,rendering,Cable1_009_0_0,Cable1_009_0_0,D:/data/code/dataset/dataset/rendering/Cable1_009_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_009_0_0.jpg
train,Cable1,rendering,Cable1_010_0_0,Cable1_010_0_0,D:/data/code/dataset/dataset/rendering/Cable1_010_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_010_0_0.jpg
train,Cable1,rendering,Cable1_011_0_0,Cable1_011_0_0,D:/data/code/dataset/dataset/rendering/Cable1_011_0_0.jpg,D:/data/code/dataset/dataset_knit/train/Cable1/rendering__Cable1_011_0_0.jpg
